DATA,January,February,March,April,May,June,July,August,September,October,November,December
1993,70.0616479,70.79783029,64.9971809,66.35192785,70.90605218,72.5681763,80.43083635,62.92277932,59.82279135,61.18836478,78.25143896,96.32071141
1994,64.63898367,70.6084158,67.2727268,68.36632021,74.39098272,82.79360709,65.87590659,62.82450829,57.79637266,66.19657014,81.03432541,92.27363944
1995,74.55534484,60.6222803,64.90713791,71.38724786,62.74837139,77.17452847,70.5513721,72.93823439,62.35283484,60.0745131,84.35322302,105.2140848
1996,76.35492033,72.82178026,71.22529324,65.09949567,74.25790323,81.45319596,79.39904727,62.8194063,61.02123996,61.57488126,100.8337491,92.59996327
1997,77.62482553,71.11792342,72.34873639,66.9148445,80.78678868,79.33429244,69.95865482,63.84238588,61.08565917,70.34076828,94.12578678,90.22562421
1998,71.66688886,79.12204955,82.71533853,68.97319698,76.22602578,84.43467405,81.50770967,68.26115726,65.09162884,64.21278,91.2301819,95.74623433
1999,96.4599741,79.4144978,81.9194043,65.3886781,84.8881192,75.2560557,79.7504032,63.1789576,63.6582221,63.8643183,90.7047828,96.2672557
2000,97.68293667,71.46230372,75.02932688,66.05232364,86.49481193,87.2973812,71.02203701,63.10900986,61.61035809,69.86451153,91.53813406,104.6341719
2001,89.1795602,70.997502,77.8720588,73.6600742,88.9284794,95.9564916,77.2879275,72.9900192,67.7380012,74.440631,109.563612,104.33732
2002,91.80873702,77.92186888,76.29776769,74.74049734,88.61276647,91.79164106,80.66635006,70.919566,65.95274821,74.93384271,101.3319959,103.0306564
2003,95.03242732,79.45664687,77.90421409,76.30862346,87.63843022,100.7289205,86.29448942,70.41856852,68.49829559,69.0315562,109.718132,111.1120653
2004,106.6980003,87.08821728,79.05485843,78.56885841,90.34383816,98.24648063,83.48873062,68.02182577,65.611203,73.48683331,115.6004224,113.8495273
2005,97.84772874,84.21441968,73.92945165,77.87828131,89.26809038,85.55102341,91.47905698,71.25309443,64.60329215,71.32689191,108.0864703,104.7714993
2006,107.6875792,83.93647985,73.3570509,79.75306951,95.99230382,101.9204628,87.69177463,70.61041238,65.37654352,82.29201256,111.7595293,127.5878645
2007,103.2022324,91.06584529,80.47180528,83.44338263,100.2916643,111.5496082,94.31038664,75.83823814,66.04179021,87.97235466,129.3898177,110.0116069
2008,104.5406588,88.1123392,76.09005773,85.97136515,105.9371497,108.3442357,99.34700498,67.55143402,64.13307847,89.37079424,121.7278985,125.2413108
2009,103.793146,81.4528376,79.3049149,88.7804829,100.371622,107.974719,92.7763648,69.6859503,64.0274306,82.6839489,120.290253,119.78732
2010,93.17135015,88.00395107,77.41029887,94.5409364,108.8608916,109.5310738,98.28931489,73.33307041,71.46728914,84.73513425,124.8191605,114.9909275
2011,93.80496937,80.92305503,84.91907002,83.10063573,96.54990414,92.87098841,97.3672238,77.2154412,67.4257609,82.54846267,122.3218411,116.3819798
2012,94.80282535,86.97932504,87.05493662,90.1467931,101.9837487,115.2808169,99.49094246,78.19221471,65.43880794,85.47835706,137.3800304,127.6098554
2013,103.6239567,89.86576711,77.17757285,95.3727142,109.0797677,115.6036656,102.6152523,76.76835904,69.06401813,94.55819594,130.8919847,135.3787457
2014,102.1000361,98.9810721,82.55285182,96.35103518,115.4377797,116.1079241,108.4557795,81.76572006,72.0196377,91.82626096,132.916373,141.5323076
2015,116.1440661,99.03838328,81.09320024,100.7072542,120.7909202,111.9158365,101.4842568,83.81038121,74.91434959,92.74929609,129.1509666,145.4502408
2016,118.0404241,102.4056239,79.79681842,101.3857464,113.6250002,127.3074395,104.700705,89.82749387,77.02809583,95.2490002,140.7386771,151.7183604
2017,132.1727583,98.45121867,84.36385535,103.9538466,114.6803516,132.4690742,107.9336187,87.53923186,78.89416277,98.32667572,152.6492864,154.9832101
2018,134.2664971,107.9204117,90.15796072,108.1794481,124.7740369,126.6898349,109.2864122,89.09579352,78.89220701,93.11660552,157.826009,159.8696928
2019,132.8513836,113.7975505,91.76022611,106.3325113,122.6967271,127.7210869,111.9746924,87.95910275,83.66164339,101.7201058,150.5160893,156.7894875
2020,136.8479405,105.8699165,99.81251659,107.3098825,126.1978867,125.1853735,,,,,,
