Instance,nCust,nVehicles,Bound,CPU,Dataset,Optimal
A_2_5_1.rmc,5,2,85,0.01,A,Yes
A_2_5_2.rmc,5,2,160,0.01,A,Yes
A_2_5_3.rmc,5,2,105,0.01,A,Yes
A_2_5_4.rmc,5,2,105,0.01,A,Yes
A_3_5_1.rmc,5,3,205,0.08,A,Yes
A_3_5_2.rmc,5,3,115,0.07,A,Yes
A_3_5_3.rmc,5,3,125,0.01,A,Yes
A_3_5_4.rmc,5,3,190,0.01,A,Yes
A_4_5_1.rmc,5,4,140,0.01,A,Yes
A_4_5_2.rmc,5,4,150,0.03,A,Yes
A_4_5_3.rmc,5,4,165,0.01,A,Yes
A_4_5_4.rmc,5,4,230,0.03,A,Yes
A_5_5_1.rmc,5,5,200,0.01,A,Yes
A_5_5_2.rmc,5,5,200,0.01,A,Yes
A_5_5_3.rmc,5,5,220,0.02,A,Yes
A_5_5_4.rmc,5,5,175,0.01,A,Yes
A_2_10_1.rmc,10,2,50,0.01,A,Yes
A_2_10_2.rmc,10,2,150,1.02,A,Yes
A_2_10_3.rmc,10,2,220,0.03,A,Yes
A_2_10_4.rmc,10,2,150,0.38,A,Yes
A_3_10_1.rmc,10,3,205,0.03,A,Yes
A_3_10_2.rmc,10,3,230,9.03,A,Yes
A_3_10_3.rmc,10,3,305,58.03,A,Yes
A_3_10_4.rmc,10,3,300,0.04,A,Yes
A_4_10_1.rmc,10,4,300,127.56,A,Yes
A_4_10_2.rmc,10,4,370,0.37,A,Yes
A_4_10_3.rmc,10,4,375,74.15,A,Yes
A_4_10_4.rmc,10,4,285,0.03,A,Yes
A_5_10_1.rmc,10,5,350,0.22,A,Yes
A_5_10_2.rmc,10,5,345,0.08,A,Yes
A_5_10_3.rmc,10,5,285,0.33,A,Yes
A_5_10_4.rmc,10,5,380,0.12,A,Yes
A_2_15_1.rmc,15,2,215,0.09,A,Yes
A_2_15_2.rmc,15,2,290,300,A,No
A_2_15_3.rmc,15,2,205,57.71,A,Yes
A_2_15_4.rmc,15,2,255,1.17,A,Yes
A_3_15_1.rmc,15,3,330,0.67,A,Yes
A_3_15_2.rmc,15,3,395,0.54,A,Yes
A_3_15_3.rmc,15,3,290,79.16,A,Yes
A_3_15_4.rmc,15,3,440,2,A,Yes
A_4_15_1.rmc,15,4,330,300,A,No
A_4_15_2.rmc,15,4,430,300,A,No
A_4_15_3.rmc,15,4,430,8.62,A,Yes
A_4_15_4.rmc,15,4,490,300,A,No
A_5_15_1.rmc,15,5,445,300,A,No
A_5_15_2.rmc,15,5,465,300,A,No
A_5_15_3.rmc,15,5,350,0.21,A,Yes
A_5_15_4.rmc,15,5,500,300,A,No
A_2_20_1.rmc,20,2,255,300,A,No
A_2_20_2.rmc,20,2,270,1.6,A,Yes
A_2_20_3.rmc,20,2,260,1.73,A,Yes
A_2_20_4.rmc,20,2,355,93.19,A,Yes
A_3_20_1.rmc,20,3,340,298.65,A,Yes
A_3_20_2.rmc,20,3,375,300,A,No
A_3_20_3.rmc,20,3,325,300,A,No
A_3_20_4.rmc,20,3,480,300,A,No
A_4_20_1.rmc,20,4,410,300,A,No
A_4_20_2.rmc,20,4,425,0.35,A,Yes
A_4_20_3.rmc,20,4,350,300,A,No
A_4_20_4.rmc,20,4,465,24.41,A,Yes
A_5_20_1.rmc,20,5,670,300,A,No
A_5_20_2.rmc,20,5,370,300,A,No
A_5_20_3.rmc,20,5,595,5.33,A,No
A_5_20_4.rmc,20,5,490,300,A,No
B_6_20_1.rmc,20,6,715,600,B,No
