Instance,nCust,nVehicles,BoundsNoCuts,BoundsStrengthen,CPU,Improvement,Dataset,Optimal,Bool_Opt,SolutionMethod,Gap,Gap_2
A_2_5_1.rmc,5,2,85,85,0.01,NA,A,Yes,1,Compact Modified,0,0
A_2_5_2.rmc,5,2,160,160,0.01,NA,A,Yes,1,Compact Modified,0,0
A_2_5_3.rmc,5,2,105,105,0.01,NA,A,Yes,1,Compact Modified,0,0
A_2_5_4.rmc,5,2,105,105,0.01,NA,A,Yes,1,Compact Modified,0,0
A_3_5_1.rmc,5,3,205,205,0.08,NA,A,Yes,1,Compact Modified,0,0
A_3_5_2.rmc,5,3,115,115,0.07,NA,A,Yes,1,Compact Modified,0,0
A_3_5_3.rmc,5,3,125,125,0.01,NA,A,Yes,1,Compact Modified,0,0
A_3_5_4.rmc,5,3,190,190,0.01,NA,A,Yes,1,Compact Modified,0,0
A_4_5_1.rmc,5,4,140,140,0.01,NA,A,Yes,1,Compact Modified,0,0
A_4_5_2.rmc,5,4,150,150,0.03,NA,A,Yes,1,Compact Modified,0,0
A_4_5_3.rmc,5,4,165,165,0.01,NA,A,Yes,1,Compact Modified,0,0
A_4_5_4.rmc,5,4,230,230,0.03,NA,A,Yes,1,Compact Modified,0,0
A_5_5_1.rmc,5,5,200,200,0.01,NA,A,Yes,1,Compact Modified,0,0
A_5_5_2.rmc,5,5,200,200,0.01,NA,A,Yes,1,Compact Modified,0,0
A_5_5_3.rmc,5,5,220,220,0.02,NA,A,Yes,1,Compact Modified,0,0
A_5_5_4.rmc,5,5,175,175,0.01,NA,A,Yes,1,Compact Modified,0,0
A_2_10_1.rmc,10,2,50,50,0.01,NA,A,Yes,1,Compact Modified,0,0
A_2_10_2.rmc,10,2,150,150,1.02,NA,A,Yes,1,Compact Modified,0,0
A_2_10_3.rmc,10,2,220,220,0.03,NA,A,Yes,1,Compact Modified,0,0
A_2_10_4.rmc,10,2,150,150,0.38,NA,A,Yes,1,Compact Modified,0,0
A_3_10_1.rmc,10,3,205,205,0.03,NA,A,Yes,1,Compact Modified,0,0
A_3_10_2.rmc,10,3,230,230,9.03,NA,A,Yes,1,Compact Modified,0,0
A_3_10_3.rmc,10,3,305,305,58.03,NA,A,Yes,1,Compact Modified,0,0
A_3_10_4.rmc,10,3,300,300,0.04,NA,A,Yes,1,Compact Modified,0,0
A_4_10_1.rmc,10,4,310,300,127.56,No,A,Yes,1,Compact Modified,0,0
A_4_10_2.rmc,10,4,370,370,0.37,NA,A,Yes,1,Compact Modified,0,0
A_4_10_3.rmc,10,4,375,375,74.15,NA,A,Yes,1,Compact Modified,0,0
A_4_10_4.rmc,10,4,285,285,0.03,NA,A,Yes,1,Compact Modified,0,0
A_5_10_1.rmc,10,5,350,350,0.22,NA,A,Yes,1,Compact Modified,0,0
A_5_10_2.rmc,10,5,345,345,0.08,NA,A,Yes,1,Compact Modified,0,0
A_5_10_3.rmc,10,5,285,285,0.33,NA,A,Yes,1,Compact Modified,0,0
A_5_10_4.rmc,10,5,380,380,0.12,NA,A,Yes,1,Compact Modified,0,0
A_2_15_1.rmc,15,2,215,215,0.09,NA,A,Yes,1,Compact Modified,0,0
A_2_15_2.rmc,15,2,290,290,300,NA,A,No,0,Compact Modified,36,0
A_2_15_3.rmc,15,2,205,205,57.71,NA,A,Yes,1,Compact Modified,0,0
A_2_15_4.rmc,15,2,255,255,1.17,NA,A,Yes,1,Compact Modified,0,0
A_3_15_1.rmc,15,3,330,330,0.67,NA,A,Yes,1,Compact Modified,0,0
A_3_15_2.rmc,15,3,395,395,0.54,NA,A,Yes,1,Compact Modified,0,0
A_3_15_3.rmc,15,3,290,290,79.16,NA,A,Yes,1,Compact Modified,0,0
A_3_15_4.rmc,15,3,440,440,2,NA,A,Yes,1,Compact Modified,0,0
A_4_15_1.rmc,15,4,295,330,300,Yes,A,No,0,Compact Modified,53,37
